sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
948.0,323867.0,107.92,0.0,0.0,0.0,107.29,0
1177.0,394748.0,106.86,0.0,0.0,0.0,106.86,0
2670.0,854177.0,162.39,1.06,1.06,3.41,160.77,0
1902.0,616303.0,29.19,0.0,0.0,0.0,28.62,1
2270.0,729687.0,202.7,0.0,0.0,0.0,197.47,0
2775.0,887128.0,200.69,-1.06,1.06,-3.38,201.54,0
1078.0,364144.0,115.95,-1.06,1.06,-3.43,116.99,0
3160.0,1006632.0,258.21,-1.06,1.06,-3.34,259.06,0
2064.0,666183.0,142.22,-60.47,60.47,-191.97,190.6,1
3387.0,1077405.0,69.61,-0.94,0.94,-3.07,70.98,0
1609.0,527091.0,29.19,-10.14,10.14,-33.23,44.77,1
1968.0,636433.0,34.27,0.0,0.0,0.0,34.9,1
1223.0,408928.0,57.49,0.0,0.0,0.0,58.05,0
3245.0,1033404.0,169.46,-0.94,0.94,-3.01,171.04,0
2515.0,806035.0,142.22,-0.94,0.94,-3.03,143.62,0
2271.0,730002.0,202.7,0.0,0.0,0.0,199.68,0
549.0,199194.0,194.69,-0.94,0.94,-2.99,196.65,0
1718.0,560336.0,29.19,0.0,0.0,0.0,29.19,1
1964.0,635213.0,35.33,0.0,0.0,0.0,34.69,1
1761.0,573432.0,26.14,0.0,0.0,0.0,26.14,1
753.0,263245.0,196.69,0.0,0.0,0.0,196.69,0
863.0,297583.0,109.93,-15.11,15.11,-48.74,122.02,0
1913.0,619658.0,29.19,0.0,0.0,0.0,29.83,1
1906.0,617523.0,30.25,0.0,0.0,0.0,29.83,1
1671.0,546001.0,31.2,0.0,0.0,0.0,30.61,1
2621.0,838922.0,127.05,0.94,0.94,3.04,125.49,0
788.0,274238.0,198.7,0.0,0.0,0.0,198.7,0
2645.0,846380.0,144.23,0.0,0.0,0.0,143.0,0
1426.0,471046.0,58.43,0.94,0.94,3.08,57.46,0
1961.0,634298.0,34.27,0.0,0.0,0.0,34.27,1
2903.0,927135.0,121.97,-1.06,1.06,-3.43,123.65,0
2319.0,744997.0,38.26,-8.13,8.13,-26.57,46.53,1
1963.0,634908.0,35.33,1.06,1.06,3.49,34.48,1
3323.0,1057678.0,107.92,0.0,0.0,0.0,109.1,0
1684.0,549966.0,34.27,0.0,0.0,0.0,33.63,1
2712.0,867323.0,183.61,1.06,1.06,3.39,182.15,0
2532.0,811322.0,135.14,0.0,0.0,0.0,135.57,0
2508.0,803856.0,145.28,-0.94,0.94,-3.03,146.46,0
999.0,339654.0,119.96,0.94,0.94,3.04,119.0,0
2853.0,911579.0,154.26,0.0,0.0,0.0,155.28,0
1785.0,580730.0,24.13,0.0,0.0,0.0,24.13,1
2631.0,842026.0,133.14,1.06,1.06,3.42,131.7,0
2696.0,862312.0,175.48,0.94,0.94,3.01,174.09,0
1534.0,504131.0,63.49,-1.06,1.06,-3.46,64.34,0
2625.0,840162.0,129.05,0.0,0.0,0.0,128.06,0
1187.0,397838.0,106.86,0.0,0.0,0.0,107.29,0
1744.0,568263.0,27.18,0.0,0.0,0.0,27.18,1
2891.0,923411.0,130.1,-1.03,1.03,-3.31,131.3,0
1930.0,624843.0,30.25,0.0,0.0,0.0,30.04,1
2178.0,701498.0,38.26,0.0,0.0,0.0,47.15,1
2642.0,845447.0,142.22,1.06,1.06,3.42,140.6,0
3342.0,1063549.0,96.85,0.0,0.0,0.0,97.62,0
1123.0,378062.0,107.92,0.0,0.0,0.0,108.49,0
3399.0,1081089.0,63.49,0.0,0.0,0.0,64.32,0
